Destination,Value,Fiscal Year
Venus (nominal $),110.5,1987
Mars (nominal $),38.7,1987
Mars Data Analysis,2.9,1987
Mars Exploration Program,,1987
Mercury,0,1987
Outer Planets,259.4,1987
Outer Planets Program,,1987
Pioneer Venus,5.2,1987
Small Bodies,0,1987
The Moon,0,1987
Venus,276.1,1987
Mars,136.7,1988
Venus (nominal $),77.4,1988
Mars (nominal $),57.6,1988
Mars Data Analysis,3.7,1988
Mars Exploration Program,,1988
Mercury,0,1988
Outer Planets,190,1988
Outer Planets Program,,1988
Pioneer Venus,4.4,1988
Small Bodies,0,1988
The Moon,0,1988
Venus,183.7,1988
Mars,282.4,1989
Venus (nominal $),65.8,1989
Mars (nominal $),124.7,1989
Mars Data Analysis,4.7,1989
Mars Exploration Program,,1989
Mercury,0,1989
Outer Planets,270.7,1989
Outer Planets Program,,1989
Pioneer Venus,5.6,1989
Small Bodies,0,1989
The Moon,0,1989
Venus,149,1989
Mars,377.1,1990
Venus (nominal $),47.1,1990
Mars (nominal $),174,1990
Mars Data Analysis,3.5,1990
Mars Exploration Program,,1990
Mercury,0,1990
Outer Planets,208.5,1990
Outer Planets Program,,1990
Pioneer Venus,5.9,1990
Small Bodies,0,1990
The Moon,0,1990
Venus,102.1,1990
Mars,435.2,1991
Venus (nominal $),49.5,1991
Mars (nominal $),208,1991
Mars Data Analysis,7.1,1991
Mars Exploration Program,,1991
Mercury,0,1991
Outer Planets,450.1,1991
Outer Planets Program,,1991
Pioneer Venus,6.2,1991
Small Bodies,0,1991
The Moon,0,1991
Venus,103.6,1991
Mars,249.8,1992
Venus (nominal $),51.6,1992
Mars (nominal $),125.6,1992
Mars Data Analysis,0,1992
Mars Exploration Program,,1992
Mercury,0,1992
Outer Planets,593.1,1992
Outer Planets Program,,1992
Pioneer Venus,6.5,1992
Small Bodies,0,1992
The Moon,0,1992
Venus,102.6,1992
Mars,53,1993
Venus (nominal $),7,1993
Mars (nominal $),27.8,1993
Mars Data Analysis,0,1993
Mars Exploration Program,,1993
Mercury,0,1993
Outer Planets,571.9,1993
Outer Planets Program,,1993
Pioneer Venus,,1993
Small Bodies,0,1993
The Moon,0,1993
Venus,13.4,1993
Mars,176.4,1994
Venus (nominal $),11.8,1994
Mars (nominal $),95.3,1994
Mars Data Analysis,,1994
Mars Exploration Program,14.6,1994
Mercury,0,1994
Outer Planets,814.2,1994
Outer Planets Program,,1994
Pioneer Venus,,1994
Small Bodies,168.8,1994
The Moon,0,1994
Venus,21.8,1994
Mars,351.4,1995
Venus (nominal $),0,1995
Mars (nominal $),194.8,1995
Mars Data Analysis,,1995
Mars Exploration Program,83.3,1995
Mercury,0,1995
Outer Planets,765.4,1995
Outer Planets Program,,1995
Pioneer Venus,,1995
Small Bodies,119.1,1995
The Moon,0,1995
Venus,0,1995
Mars,358,1996
Venus (nominal $),0,1996
Mars (nominal $),203.4,1996
Mars Data Analysis,,1996
Mars Exploration Program,143.7,1996
Mercury,0,1996
Outer Planets,650.5,1996
Outer Planets Program,,1996
Pioneer Venus,,1996
Small Bodies,150.1,1996
The Moon,64.1,1996
Venus,0,1996
Mars,268.7,1997
Venus (nominal $),,1997
Mars (nominal $),154.8,1997
Mars Data Analysis,,1997
Mars Exploration Program,143,1997
Mercury,0,1997
Outer Planets,455.7,1997
Outer Planets Program,,1997
Pioneer Venus,,1997
Small Bodies,185.9,1997
The Moon,35.8,1997
Venus,,1997
Mars,286.8,1998
Venus (nominal $),,1998
Mars (nominal $),169.3,1998
Mars Data Analysis,,1998
Mars Exploration Program,164.7,1998
Mercury,0,1998
Outer Planets,166.4,1998
Outer Planets Program,,1998
Pioneer Venus,,1998
Small Bodies,220.2,1998
The Moon,8,1998
Venus,,1998
Mars,311.6,1999
Venus (nominal $),,1999
Mars (nominal $),188.5,1999
Mars Data Analysis,,1999
Mars Exploration Program,188.5,1999
Mercury,0,1999
Outer Planets,158.7,1999
Outer Planets Program,15.4,1999
Pioneer Venus,,1999
Small Bodies,104.8,1999
The Moon,3.6,1999
Venus,,1999
Mars,404.1,2000
Venus (nominal $),,2000
Mars (nominal $),254.3,2000
Mars Data Analysis,,2000
Mars Exploration Program,254.3,2000
Mercury,2.8,2000
Outer Planets,121.1,2000
